date,name,source
2024-01-22,Special Holiday (Shri Ram Lalla Pran-Pratishtha),recollection
2024-01-26,Republic Day,recollection
2024-03-08,Mahashivratri,recollection
2024-03-25,Holi,recollection
2024-03-29,Good Friday,recollection
2024-04-11,Id-Ul-Fitr,recollection
2024-04-17,Shri Ram Navami,recollection
2024-05-01,Maharashtra Day,recollection
2024-05-20,Lok Sabha Election Mumbai,recollection
2024-06-17,Bakri Id,recollection
2024-07-17,Muharram,recollection
2024-08-15,Independence Day,recollection
2024-10-02,Mahatma Gandhi Jayanti,recollection
2024-11-01,Diwali Laxmi Pujan (muhurat only),recollection
2024-11-15,Gurunanak Jayanti,recollection
2024-11-20,Maharashtra Assembly Election,recollection
2024-12-25,Christmas,recollection
2025-02-26,Mahashivratri,recollection
2025-03-14,Holi,recollection
2025-03-31,Id-Ul-Fitr,recollection
2025-04-10,Shri Mahavir Jayanti,recollection
2025-04-14,Dr Ambedkar Jayanti,recollection
2025-04-18,Good Friday,recollection
2025-05-01,Maharashtra Day,recollection
2025-08-15,Independence Day,recollection
2025-08-27,Ganesh Chaturthi,recollection
2025-10-02,Mahatma Gandhi Jayanti / Dussehra,recollection
2025-10-21,Diwali Laxmi Pujan (muhurat only),recollection
2025-10-22,Diwali Balipratipada,recollection
2025-11-05,Prakash Gurpurb Sri Guru Nanak Dev,recollection
2025-12-25,Christmas,recollection
2026-01-15,Municipal Corporation Election Maharashtra,nse-circular-verified
2026-01-26,Republic Day,nse-circular-verified
2026-03-03,Holi,nse-circular-verified
2026-03-26,Shri Ram Navami,nse-circular-verified
2026-03-31,Shri Mahavir Jayanti,nse-circular-verified
2026-04-03,Good Friday,nse-circular-verified
2026-04-14,Dr Ambedkar Jayanti,nse-circular-verified
2026-05-01,Maharashtra Day,nse-circular-verified
2026-05-28,Bakri Id,nse-circular-verified
2026-06-26,Muharram,nse-circular-verified
2026-09-14,Ganesh Chaturthi,nse-circular-verified
2026-10-02,Mahatma Gandhi Jayanti,nse-circular-verified
2026-10-20,Dussehra,nse-circular-verified
2026-11-08,Diwali Laxmi Pujan (Sunday; muhurat only),nse-circular-verified
2026-11-10,Diwali Balipratipada,nse-circular-verified
2026-11-24,Prakash Gurpurb Sri Guru Nanak Dev,nse-circular-verified
2026-12-25,Christmas,nse-circular-verified
